Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0040,Y,Y,Y,Y,P,P,T,P,N,A,A,N
MB0041,NA,NA,NA,NA,P,NA,P,P,N,N,N,N
MB0042,W,W,W,W,P,P,P,P,N,N,N,N
MB0043,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0044,R,R,R,R,P,P,P,P,N,N,N,N
MB0045,R,R,R,R,P,P,P,P,N,N,N,N
MB0046,R,R,R,R,P,P,P,P,N,N,N,N
MB0049,R,NA,NA,NA,P,P,P,P,N,N,N,N
MB0050,NA,NA,NA,NA,P,NA,P,NA,N,NA,N,NA
MB0051,R,R,R,R,T,T,T,T,N,N,N,N
MB0052,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0053,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0056,R,R,R,R,P,P,NA,P,N,N,N,N
MB0057,R,R,R,R,P,P,P,P,N,N,N,N
MB0060,R,R,R,R,T,T,T,T,A,A,A,A
MB0061,R,R,R,R,P,P,P,P,A,A,A,A
MB0062,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0063,W,W,W,W,P,P,P,P,A,A,A,A
MB0064,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0066,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0071,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0072,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0073,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0074,R,R,R,R,T,T,T,T,A,A,A,A
MB0075,R,R,R,R,P,P,P,P,N,N,N,N
MB0080,R,R,R,R,P,P,P,P,N,N,N,N
MB0081,Y,NA,Y,W,P,NA,NA,P,NA,NA,A,A
MB0082,NA,NA,NA,NA,P,P,P,P,N,N,N,N
MB0084,R,R,R,R,2,2,NA,P,A,A,A,A
MB0085,NA,NA,NA,NA,T,T,T,T,N,N,N,N
MB0086,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0087,R,R,R,R,T,T,T,T,N,N,N,N
MB0088,R,R,R,R,T,T,T,T,N,N,N,N
MB0089,R,R,R,R,T,T,P,T,N,N,N,N
MB0090,R,R,R,R,T,T,P,T,N,N,N,N
MB0091,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0092,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0093,Y,NA,Y,Y,T,NA,T,T,N,NA,N,N
MB0094,Y,Y,Y,Y,T,T,T,T,A,A,A,A
MB0095,W,W,W,W,T,T,T,T,N,N,N,N
MB0096,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0097,Y,Y,Y,Y,T,T,T,T,N,N,N,N
MB0098,R,NA,R,NA,P,NA,P,NA,A,NA,A,NA
MB0099,R,R,R,R,P,P,P,T,A,A,A,A
MB0100,R,R,R,NA,P,P,P,P,A,A,A,A
